married / was married,couple,any relation,respondent gender,couple gender,interracial couple,respondent age,partner age,education gap,couple salary gap,couple political stability,meeting interface,try app service,relation duration [year],relation quality
0.0,0.0,1.0,0,1,,2,1.0,2.0,1,2.0,0.0,1.0,0.25,
1.0,1.0,,1,0,,4,4.0,0.0,3,5.0,1.0,,21.92,1
1.0,1.0,,0,0,,3,3.0,3.0,1,6.0,0.0,,11.08,2
0.0,0.0,1.0,1,2,,1,1.0,0.0,1,3.0,0.0,,0.17,
1.0,1.0,,1,0,,4,4.0,0.0,3,6.0,2.0,,33.75,1
1.0,1.0,,0,0,,4,5.0,4.0,3,3.0,,,35.08,2
1.0,1.0,,1,0,,5,5.0,1.0,3,3.0,3.0,,50.5,1
1.0,1.0,,1,0,,5,5.0,6.0,3,5.0,4.0,,50.08,1
,0.0,0.0,0,,,1,,,,,,,,
0.0,0.0,1.0,1,0,,5,6.0,0.0,3,5.0,5.0,,0.92,
1.0,1.0,,0,0,,2,3.0,0.0,3,6.0,1.0,,9.0,3
0.0,0.0,1.0,0,0,,1,1.0,0.0,1,5.0,,,1.42,
0.0,0.0,1.0,0,0,,1,1.0,0.0,3,5.0,0.0,1.0,0.08,
0.0,0.0,1.0,0,0,,2,2.0,1.0,3,5.0,,,4.17,
1.0,1.0,,0,0,,2,2.0,3.0,1,4.0,4.0,,6.17,2
1.0,1.0,,1,0,,2,3.0,3.0,3,6.0,3.0,,12.75,1
,1.0,,1,0,,2,2.0,1.0,3,4.0,,,10.0,1
1.0,1.0,,1,0,,3,3.0,0.0,3,6.0,0.0,1.0,14.83,1
1.0,1.0,,0,0,,3,3.0,4.0,3,5.0,1.0,,10.67,1
1.0,1.0,,1,0,,5,6.0,3.0,1,6.0,1.0,,43.17,2
1.0,1.0,,0,0,,3,3.0,0.0,1,3.0,4.0,,22.08,1
0.0,0.0,1.0,0,1,,4,4.0,3.0,3,6.0,0.0,1.0,6.08,
1.0,0.0,1.0,0,0,,1,1.0,1.0,1,4.0,4.0,,,
,1.0,,1,0,,5,4.0,0.0,3,4.0,,,6.33,1
1.0,1.0,,0,0,,2,2.0,0.0,1,4.0,2.0,,16.92,1
1.0,1.0,,0,0,,3,3.0,0.0,1,5.0,5.0,,27.08,1
0.0,0.0,1.0,0,0,,4,3.0,1.0,1,5.0,,,18.0,
,1.0,,1,0,,1,1.0,0.0,2,5.0,,,2.5,1
,1.0,,0,0,,2,3.0,3.0,1,4.0,5.0,1.0,0.42,2
,1.0,,1,0,,1,1.0,1.0,1,4.0,4.0,,7.25,3
1.0,1.0,,0,0,,1,1.0,0.0,4,5.0,4.0,,2.92,1
1.0,0.0,1.0,0,0,,5,5.0,0.0,1,5.0,,,,
1.0,1.0,,1,2,,6,6.0,0.0,1,6.0,1.0,,40.25,1
0.0,0.0,1.0,1,2,,1,2.0,3.0,2,5.0,4.0,,1.33,
1.0,1.0,,0,0,,3,2.0,1.0,4,5.0,4.0,,17.17,2
1.0,1.0,,0,0,,2,2.0,0.0,1,6.0,3.0,,17.5,1
,1.0,,0,0,,1,1.0,0.0,1,5.0,3.0,,0.25,3
1.0,1.0,,1,0,,4,5.0,1.0,1,6.0,0.0,,18.17,1
,1.0,,0,0,,4,4.0,0.0,1,6.0,5.0,,6.58,3
,0.0,0.0,0,,,1,,,,,,,,
1.0,1.0,,0,0,,3,4.0,4.0,3,6.0,1.0,1.0,29.42,1
,1.0,,1,0,,1,1.0,4.0,3,5.0,4.0,,1.17,1
1.0,1.0,,0,0,,5,3.0,2.0,3,6.0,,,11.08,1
,1.0,,0,0,,2,2.0,0.0,2,4.0,0.0,1.0,0.08,1
,1.0,,0,0,,4,4.0,3.0,1,2.0,1.0,,2.42,1
1.0,1.0,,0,0,,2,2.0,0.0,1,6.0,2.0,,16.83,1
1.0,1.0,,0,0,,2,4.0,1.0,2,4.0,5.0,,1.5,2
1.0,1.0,,1,0,,5,5.0,3.0,3,4.0,,,45.83,1
1.0,1.0,,0,0,,2,1.0,0.0,2,5.0,2.0,,,1
0.0,0.0,1.0,1,2,,0,0.0,1.0,3,6.0,0.0,,0.33,
0.0,0.0,1.0,0,1,,4,4.0,2.0,3,5.0,,,3.92,
1.0,1.0,,1,0,,3,3.0,0.0,3,5.0,1.0,,20.0,1
,1.0,,0,1,,5,4.0,5.0,3,4.0,5.0,,40.58,1
1.0,1.0,,0,0,,4,4.0,1.0,1,4.0,1.0,,17.5,1
1.0,1.0,,0,0,,4,4.0,2.0,1,6.0,,,34.17,1
1.0,1.0,,0,0,,6,5.0,4.0,1,6.0,5.0,,49.25,1
1.0,1.0,,0,0,,4,4.0,2.0,3,5.0,0.0,,9.42,2
1.0,1.0,,1,0,,5,5.0,0.0,1,4.0,3.0,,42.67,2
,1.0,,1,0,,2,2.0,1.0,2,6.0,3.0,,3.42,1
1.0,1.0,,1,0,,1,1.0,2.0,4,6.0,1.0,,9.17,5
0.0,0.0,1.0,1,0,,2,2.0,8.0,1,5.0,,,1.08,
,1.0,,0,0,,2,2.0,0.0,1,2.0,5.0,,,1
1.0,0.0,1.0,0,0,,5,6.0,4.0,1,6.0,3.0,,,
,1.0,,0,0,,2,1.0,0.0,1,6.0,4.0,,13.5,2
0.0,0.0,1.0,1,0,,1,1.0,0.0,2,4.0,0.0,,0.0,
